Village,Copper - Sufficient,Copper - Deficient,Boron - Sufficient,Boron - Deficient,S - Sufficient,S - Deficient,Fe - Sufficient,Fe - Deficient,Zn - Sufficient,Zn - Deficient,Mn - Sufficient,Mn - Deficient
Bommanappady,5,0,1,4,0,5,1,4,5,0,5,0
Chatramani,7,0,0,7,0,7,0,7,7,0,7,0
Velur,6,0,0,6,0,6,0,6,6,0,6,0
Gudalur,123,2,38,90,110,18,43,85,0,128,124,4
Nochikulam,229,33,37,228,224,41,54,211,24,241,216,49
Kolakkanatham,112,0,12,100,103,9,13,99,8,104,110,2
Chettikulam,118,2,17,103,109,11,0,120,1,119,119,1
Padalur (East),105,6,26,85,106,5,7,104,2,109,100,11
Nattaramangalam,108,0,18,90,101,7,4,104,1,107,106,2
Thenur,102,0,12,90,101,1,0,102,0,102,102,0
Zamin Athur,114,0,6,108,106,8,3,111,10,104,109,5
Melamathur,101,2,18,85,100,3,0,103,0,103,96,7
Karai (West),12,0,0,12,6,6,2,10,5,7,9,3
Thondappadi,2,1,0,3,0,3,0,3,0,3,1,2
Kottarai,3,0,0,3,0,3,0,3,0,3,0,3
Adhanur (North),2,1,0,3,0,3,0,3,0,3,0,3
Alagiripalayam,2,1,0,3,1,2,0,3,0,3,0,3
Padalur (West),9,0,0,9,4,5,0,9,1,8,9,0
Thimmur,13,0,0,13,7,6,3,10,5,8,11,2
Sirukanpur (West),24,0,0,24,14,10,14,10,0,24,20,4
Varagupadi,15,0,0,15,6,9,0,15,0,15,14,1
Sillakudi (North),17,0,0,17,5,12,8,9,12,5,12,5
Sirukanpur (East),4,0,0,4,2,2,0,4,0,4,3,1
Kolathur (West),6,0,0,6,2,4,0,6,3,3,6,0
Aiyinapuram,8,0,0,8,4,4,1,7,3,5,7,1
Sillakudi (South),11,0,0,11,5,6,2,9,5,6,10,1
Kolathur (East),3,0,0,3,1,2,0,3,3,0,3,0
Karai (East),11,0,0,11,6,5,0,11,4,7,5,6
Nekkaselam,8,1,0,9,1,8,1,8,1,8,7,2
T.Kalathur,24,0,0,24,11,13,0,24,0,24,24,0
Puduammapalayam,34,1,0,35,15,20,0,35,0,35,30,5
Siruvayalur,46,2,0,48,14,34,0,48,14,34,46,2
Elandalapatti,23,0,0,23,14,9,0,23,4,19,21,2
Naranamangalam,15,2,0,17,6,11,3,14,1,16,7,10
Irur,14,0,0,14,7,7,3,11,0,14,11,3
Thirani,3,0,0,3,0,3,2,1,0,3,2,1
Mavilingai,8,0,0,8,5,3,0,8,4,4,1,7
Sathanur,3,0,0,3,3,0,2,1,0,3,3,0
Bhujangarayanallur,3,0,0,3,2,1,1,2,0,3,3,0
Adhanur (South),4,1,1,4,3,2,0,5,0,5,3,2
Koothur,3,0,0,3,0,3,0,3,0,3,2,1
Kannapady,12,0,0,12,7,5,0,12,0,12,12,0
Anandagoundempalayam,77,7,61,24,35,50,0,85,67,18,72,13
Thengalpalayam,3,0,2,1,0,3,0,3,3,0,0,3
Pallavanaickenpatti,4,0,2,2,1,3,0,4,3,1,0,4
Malaiyampalayam,3,0,1,2,1,2,0,3,3,0,0,3
Kuttaladampatti,4,0,1,3,2,2,0,4,2,2,1,3
Annamalaipatti,37,0,21,16,8,29,4,33,3,34,4,33
3 Komarapalayam ,4,0,2,2,2,2,0,4,4,0,0,4
Kallankulam,9,0,5,4,4,5,0,9,2,7,2,7
Athanur Ayeepalayam ,5,0,2,3,1,4,0,5,5,0,0,5
Melur,4,0,3,1,1,3,0,4,3,1,2,2
Athanur ,7,0,2,5,2,5,0,7,4,3,0,7
Vennandur,9,0,6,3,3,6,0,9,2,7,4,5
Alavaipatti,148,0,50,98,26,122,6,142,39,109,127,21
Porasalapattti,8,0,4,4,2,6,0,8,4,4,1,7
Akkaraipatti,23,2,9,16,9,16,0,25,1,24,0,25
Nadupatti,8,0,4,4,3,5,0,8,1,7,3,5
Palanthinnipatti,13,0,4,9,4,9,0,13,2,11,3,10
Keeranur,25,0,13,12,20,5,0,25,16,9,4,21
Ponparappipatti,4,0,3,1,0,4,0,4,3,1,0,4
Sowdapuram,4,0,1,3,3,1,0,4,0,4,2,2
Mattuvelampatti,4,0,1,3,2,2,0,4,0,4,2,2
Semmandapatti,11,1,8,4,8,4,2,10,1,11,2,10
Madiampatti,4,0,2,2,1,3,0,4,2,2,3,1
Alampatti,3,0,1,2,0,3,0,3,0,3,3,0
Minnakkal,146,5,90,61,102,49,4,147,77,74,81,70
Gedamalai,3,0,1,2,0,3,0,3,3,0,3,0
Kilur,3,0,1,2,0,3,0,3,2,1,3,0
Molakkadu,6,0,3,3,2,4,0,6,3,3,4,2
Pudupalayam,122,15,70,67,74,63,1,136,15,122,115,22
Kattanachempatti,99,7,71,35,83,23,11,95,6,100,69,37
Nachipatti,2,0,2,0,0,2,0,2,0,2,0,2
Thirumangalam Pudupalayam,96,1,59,38,96,1,7,90,59,38,93,4
Chinnathambipalayam,23,1,2,22,18,6,2,22,5,19,22,2
Modamangalam Agraharam,121,1,62,63,107,18,45,80,105,20,75,50
Varagurampatti,110,5,76,39,99,16,9,106,90,25,95,20
Emappalli,3,0,0,3,2,1,0,3,3,0,2,1
T.Kavundampalayam,3,0,0,3,2,1,0,3,1,2,1,2
Anangur,3,0,0,3,2,1,2,1,3,0,3,0
Thokkavadi,3,0,0,3,3,0,0,3,1,2,1,2
48 Kailasampalayam,2,0,2,0,2,0,2,0,2,0,0,2
Muthanampalayam,2,0,2,0,2,0,2,0,2,0,2,0
Tiruchengode,5,0,5,0,4,1,2,3,3,2,1,4
Seetharampalayam,3,0,3,0,3,0,3,0,3,0,1,2
Sengodampalayam,2,0,2,0,2,0,1,1,2,0,2,0
Molasi,1,0,1,0,1,0,0,1,1,0,1,0
Attavanai Erayamangalam,2,0,2,0,2,0,0,2,2,0,1,1
Patlur,2,0,2,0,2,0,1,1,2,0,2,0
Devanankurichi,6,0,6,0,6,0,4,2,6,0,2,4
Vattur,14,0,14,0,14,0,13,1,12,2,5,9
Karumapuram,5,0,5,0,5,0,1,4,5,0,3,2
Thirumangalam,1,0,1,0,1,0,1,0,1,0,1,0
Karuppagoundampalayam,3,0,3,0,3,0,0,3,3,0,3,0
Pirithi,2,0,2,0,2,0,0,2,2,0,2,0
Kumarapalayam,2,0,2,0,2,0,2,0,2,0,0,2
Elaiyampalayam,2,0,2,0,2,0,0,2,2,0,2,0
Neikkarappatti,4,0,4,0,4,0,4,0,4,0,2,2
Kottaipalayam,8,0,8,0,8,0,8,0,8,0,3,5
Rajapalayam,6,0,6,0,6,0,5,1,6,0,3,3
Karuveppampatti,7,0,7,0,7,0,7,0,7,0,2,5
58 Kailasampalayam,2,0,2,0,2,0,2,0,2,0,1,1
Modamangalam,2,0,2,0,2,0,2,0,2,0,2,0
S Erayamangalam,119,0,119,0,119,0,99,20,119,0,25,94
Chikkanaickanpalayam,2,0,2,0,2,0,0,2,2,0,2,0
Puduppuliyampatti,3,0,3,0,3,0,3,0,3,0,0,3
Andipalaiyam,5,0,5,0,5,0,5,0,5,0,1,4
Chittalandur,114,1,115,0,113,2,96,19,112,3,67,48
Vattapparappu,5,0,5,0,5,0,5,0,5,0,0,5
Vettuvampalayam,5,0,5,0,5,0,5,0,5,0,0,5
Sirumolasi,4,0,4,0,4,0,4,0,4,0,0,4
Animoor,5,0,5,0,5,0,5,0,5,0,2,3
Thottipalayam,3,0,3,0,3,0,2,1,3,0,0,3
Athipalaiyam,4,0,4,0,4,0,4,0,4,0,0,4
Periyakulam,130,5,20,115,40,95,0,135,17,118,95,40
Bommasamudram,8,0,3,5,4,4,0,8,3,5,8,0
Kalkurchi,87,1,12,76,26,62,6,82,8,80,72,16
Sendamangalam,10,1,2,9,2,9,0,11,3,8,11,0
Melapatty,7,0,0,7,0,7,0,7,0,7,6,1
Valavandicombai,9,0,0,9,3,6,1,8,5,4,5,4
Kalappanayakkenpatti,12,0,0,12,6,6,0,12,8,4,9,3
Pallamparai,23,0,4,19,13,10,0,23,1,22,22,1
Naducombai,12,0,0,12,2,10,2,10,4,8,12,0
Valayappatti Ichchampatti,41,3,14,30,18,26,1,43,5,39,13,31
Pallipatti,6,0,0,6,1,5,0,6,0,6,6,0
Uthiragadikaval,15,0,0,15,11,4,4,11,10,5,14,1
Thuthikulam,4,0,0,4,0,4,1,3,2,2,1,3
Belukkurichi,7,0,3,4,0,7,0,7,0,7,7,0
Ichchampatti,47,2,6,43,17,32,1,48,3,46,25,24
Thirumalaigiri,19,0,3,16,9,10,1,18,13,6,10,9
Ponnarakulam Bit 1 3 4,3,0,0,3,0,3,0,3,0,3,3,0
Ponnarakulam Bit 2,4,0,0,4,0,4,0,4,0,4,4,0
Pottanam,4,0,0,4,0,4,0,4,0,4,3,1
Kondamanayakkanpatti,127,9,28,108,44,92,0,136,5,131,68,68
Pachudayampatti,3,0,0,3,0,3,0,3,0,3,2,1
Akkiyampatti,3,0,0,3,2,1,0,3,1,2,3,0
Singalandapuram,156,2,126,32,66,92,1,157,35,123,100,58
Kakkaveri,120,62,181,1,53,129,28,154,30,152,124,58
Molapalayam,35,0,31,4,1,34,0,35,2,33,22,13
Vadugam,189,0,117,71,61,128,7,182,97,92,130,59
Ponkurichi,5,0,3,2,4,1,0,5,2,3,3,2
Murungapatty,4,1,3,2,0,5,0,5,1,4,1,4
Koonavelampatti,22,2,9,15,4,20,0,24,15,9,5,19
Ayeepalayam,2,0,2,0,1,1,0,2,0,2,2,0
Koppampatti,2,0,0,2,1,1,0,2,1,1,1,1
Pillanallur,16,4,17,3,2,18,0,20,1,19,2,18
Ellapalayam,1,0,1,0,1,0,0,1,1,0,1,0
Andagalore,2,0,1,1,0,2,0,2,0,2,2,0
Thottiampatti,4,0,3,1,2,2,2,2,1,3,2,2
Pattanam Muniappampalayam,10,1,4,7,3,8,0,11,1,10,9,2
Muthukalipatti,6,2,3,5,0,8,0,8,2,6,2,6
Pudur Malayampatti,4,2,4,2,3,3,0,6,0,6,3,3
Pattanam,23,2,21,4,3,22,4,21,7,18,9,16
Kurukkapuram,3,0,0,3,0,3,0,3,1,2,2,1
Anaipalayam,40,0,15,25,28,12,0,40,22,18,23,17
Rasipuram,2,0,0,2,1,1,0,2,1,1,1,1
Anaikattipalayam,4,0,1,3,4,0,0,4,0,4,2,2
Koneripatti,2,0,2,0,2,0,1,1,2,0,2,0
85 Komarapalayam ,7,1,5,3,5,3,0,8,2,6,3,5
Chandrasegarapuram Agraharam,9,0,4,5,3,6,0,9,0,9,2,7
Malayampatti,8,0,2,6,4,4,0,8,0,8,4,4
Pappinayakkanpatti,100,0,99,0,41,59,24,76,71,28,97,3
Dadhadripuram,58,0,27,32,6,53,0,59,54,5,37,22
Thanathampatti,55,1,35,21,11,45,0,56,50,6,40,16
Agrahara Uduppam,52,3,16,39,5,50,0,55,22,33,48,7
Lakkapuram,6,0,0,6,4,2,0,6,4,2,3,3
Elur,30,0,16,14,14,16,0,30,12,18,6,24
Agraharanathamangalam,10,0,1,9,3,7,0,10,7,3,4,6
Navani,32,0,3,29,4,28,3,29,31,1,18,14
Sarkarnattamangalam,6,0,3,3,2,4,0,6,1,5,1,5
Elayapuram Agraharam,3,0,3,0,1,2,0,3,3,0,1,2
Kalyani,6,0,0,6,0,6,1,5,3,3,4,2
Sarkar Uduppam,119,6,32,93,49,76,6,119,87,38,98,27
Ramanayakkanpatti,3,0,0,3,0,3,0,3,0,3,2,1
Ananthakrishnarayasamudram,3,0,0,3,0,3,0,3,3,0,3,0
Kadandapatti,3,0,0,3,0,3,0,3,0,3,2,1
Jekkalnayakkanpatti,3,0,0,3,0,3,0,3,0,3,2,1
Pachal,4,0,3,1,0,4,0,4,0,4,3,1
R Pulliampatti,10,0,0,10,0,10,2,8,8,2,8,2
Karadippatti,10,1,1,10,2,9,0,11,6,5,7,4
Illaiyapuram Ayan,3,0,3,0,1,2,0,3,1,2,1,2
Kadiranallur,9,0,0,9,1,8,0,9,1,8,0,9
Sellappampatti,2,1,1,2,2,1,0,3,0,3,2,1
Karakuruchi,17,2,0,19,3,16,0,19,4,15,4,15
Minnampalli,14,5,2,17,3,16,1,18,3,16,5,14
Tattayyangarpatti,3,0,0,3,1,2,0,3,0,3,0,3
Pidaripatti,9,0,5,4,0,9,3,6,3,6,3,6
Podangam,4,0,2,2,1,3,0,4,1,3,1,3
Thalambadi,8,1,1,8,0,9,0,9,2,7,1,8
Kalangani,4,1,0,5,2,3,0,5,0,5,2,3
Kannurpatti,134,15,93,56,96,53,13,136,94,55,140,9
Thirumalaipatti,5,0,4,1,1,4,0,5,2,3,2,3
Maniekanatham,137,0,92,47,111,27,29,109,78,61,135,3
Arthanaripalayam,13,0,13,0,13,0,13,0,12,1,2,11
Nadandai,6,0,6,0,6,0,6,0,6,0,2,4
Pillur,3,0,3,0,3,0,2,1,2,1,2,1
Punjai Ediyar Melmugam,1,0,1,0,1,0,0,1,0,1,1,0
Paramathi,6,0,5,1,6,0,2,4,5,1,3,3
Villipalayam,8,0,8,0,8,0,8,0,3,5,2,6
Maniyanur,151,2,153,0,152,1,48,105,65,88,121,32
Sittampoondi,136,0,106,30,100,36,9,127,128,8,93,43
Sarkarserukali,117,6,123,0,117,6,18,105,105,18,105,18
Nallur,5,0,5,0,5,0,2,3,5,0,3,2
Ramadevam,2,0,2,0,2,0,0,2,2,0,2,0
Kolaram,6,0,6,0,6,0,4,2,6,0,3,3
Sirapalli,3,0,3,0,3,0,0,3,3,0,3,0
Kodur Agraharam,2,0,2,0,2,0,1,1,2,0,1,1
Kodur,6,0,6,0,6,0,4,2,5,1,2,4
Melsathambur,3,0,3,0,3,0,0,3,1,2,3,0
Kunnamalai,2,0,2,0,2,0,0,2,1,1,1,1
Ariyurpatti,4,0,4,0,4,0,0,4,3,1,3,1
Iruttanai,4,0,4,0,4,0,2,2,0,4,1,3
Viranampalayam,1,0,1,0,1,0,1,0,1,0,0,1
Pillakalathur,3,0,3,0,3,0,3,0,2,1,0,3
Sungakarampatty,5,0,5,0,5,0,5,0,4,1,0,5
Pirandagam,8,0,8,0,8,0,8,0,5,3,0,8
Kaliyanur Agraharam,146,2,42,105,97,51,74,73,132,16,89,59
Sowdapuram,8,0,8,0,8,0,4,4,4,4,4,4
Kumarapalaiyam Agraharam,23,0,23,0,22,1,21,2,23,0,2,21
Odappalli Agraharam,4,0,4,0,4,0,0,4,4,0,4,0
Samayasangili Agraharam,140,0,140,0,137,2,78,61,129,10,37,103
Ellandaikuttai (CT),45,0,45,0,44,1,43,2,41,4,4,41
Pallipalayam Agraharam (CT),4,0,4,0,4,0,1,3,3,1,0,4
Pallakkapalaiyam,9,0,9,0,9,0,7,2,8,1,1,8
Pallipalayam,8,0,8,0,8,0,1,7,8,0,3,5
Pudupalayam Agraharam (CT),3,0,3,0,3,0,0,3,1,2,3,0
Kadachanallur,13,0,13,0,13,0,11,2,13,0,9,4
Padaveedu,7,0,7,0,7,0,2,5,2,5,5,2
Ayyampalayam Agraharam ,2,0,2,0,2,0,0,2,2,0,2,0
Pappampalayam,155,1,153,3,156,0,16,140,113,43,84,72
Kumarapalayam Amani,18,0,18,0,18,0,15,3,16,2,4,14
Kaliyanur,37,0,37,0,36,0,31,6,35,2,5,32
Kokkarayanpettai,2,0,2,0,2,0,0,2,2,0,0,2
Pallipalaiyam Agraharam (Part),5,0,5,0,5,0,5,0,2,3,1,4
Keerambur,119,12,109,23,33,99,21,111,34,98,99,33
Sarvamaniya Aniyar ,10,0,10,0,0,10,4,6,2,8,4,6
Jodikai Aniyar ,22,7,30,0,0,30,0,30,26,4,13,17
Mitta Aniyar,75,0,22,53,18,57,3,72,16,59,47,28
Vittamanaickanpatty ,5,0,0,5,2,3,0,5,0,5,3,2
Vettampadi,4,0,0,4,4,0,0,4,3,1,4,0
Avalnaickenpatti ,15,0,3,12,15,0,0,15,0,15,3,12
Muthalaipatty ,3,0,0,3,1,2,0,3,2,1,3,0
Marurpatti,8,0,1,7,6,2,0,8,0,8,1,7
Veesanam,1,0,0,1,1,0,0,1,0,1,1,0
Chithamparapatty ,3,0,3,0,1,2,0,3,0,3,3,0
Chithamparapatty ,3,0,0,3,1,2,0,3,0,3,3,0
Eranapuram,8,0,6,2,6,2,0,8,5,3,1,7
Naravalur Agraharam ,8,0,3,5,5,3,0,8,3,5,4,4
Marappanaickanpatty ,8,0,1,7,5,3,0,8,5,3,4,4
Singilipatty ,16,0,3,13,12,4,0,16,5,11,2,14
Naravalur Thottipalayam,3,0,2,1,0,3,0,3,0,3,3,0
Namakkal,6,0,2,4,2,4,3,3,3,3,6,0
Thummankurichi ,3,0,2,1,0,3,0,3,1,2,3,0
Melapatty Melmugam ,2,0,0,2,0,2,0,2,0,2,2,0
Thindamangalam,4,0,0,4,0,4,0,4,0,4,3,1
Nallipalayam ,2,0,2,1,0,3,0,3,2,1,3,0
Thaligai,6,0,1,5,4,2,0,6,3,3,2,4
Seiluvampatti,4,0,4,0,0,4,0,4,3,1,4,0
Kadappalli,88,52,52,88,61,79,6,134,12,128,35,105
Periya Goundampalayam ,5,0,1,4,5,0,0,5,2,3,3,2
Nallagoundampalayam ,5,0,4,1,4,1,0,5,2,3,2,3
Konur,6,0,4,2,6,0,0,6,4,2,5,1
Rangappanaickanpalayam,4,0,0,4,3,1,0,4,3,1,4,0
Rasampalayam,92,52,108,36,87,57,27,117,51,93,139,5
Kilsathambur,4,0,0,4,4,0,0,4,3,1,3,1
Periyapatty ,2,0,0,2,2,0,0,2,0,2,2,0
Kondichettipatty,4,0,2,2,2,2,0,4,0,4,2,2
Vasanthapuram,3,0,0,3,3,0,1,2,1,2,3,0
Thottippatti,3,0,0,3,0,3,0,3,0,3,3,0
Vagurampatti,4,0,0,4,3,1,0,4,2,2,3,1
Vallipuram,77,30,21,86,45,62,2,105,13,94,88,19
Pudupatti,13,1,11,3,8,6,0,14,2,12,4,10
Perumagoundampalayam,2,0,1,1,0,2,0,2,2,0,2,0
Moolapallipatti,141,9,131,19,110,40,6,144,99,51,102,48
Chinnakkapalayam,2,0,2,0,1,1,0,2,2,0,2,0
Thimmanaickenpatti,139,17,112,44,124,32,19,137,32,124,74,82
Tho. Pachudaiampalayam,105,1,81,25,98,8,2,104,56,50,75,31
O.Jedarpalayam,3,0,2,1,0,3,0,3,2,1,3,0
Eswaramurthipalayam,4,0,2,2,2,2,0,4,1,3,0,4
Pachagoundampatti,1,0,1,0,0,1,0,1,1,0,1,0
Ariyagoundampatty ,8,2,5,5,1,9,0,10,8,2,6,4
Tho. Jadarpalayam,4,0,1,3,1,3,0,4,4,0,4,0
Vellakkalpatty,10,0,9,1,5,5,1,9,6,4,4,6
Thoppapatti,4,0,2,2,0,4,0,4,4,0,4,0
Namagiripettai ,22,0,14,8,15,7,2,20,13,9,19,3
Seerapalli,8,0,5,3,2,6,0,8,2,6,3,5
Vadugam Muniappampalayam,7,0,4,3,2,5,0,7,5,2,5,2
Oduvankurichi ,5,0,3,2,1,4,0,5,3,2,4,1
Naraikinar,18,1,11,8,15,4,5,14,6,13,19,0
Ayilpatti,3,0,2,1,0,3,1,2,1,2,3,0
Navalpatti,2,0,2,0,1,1,0,2,2,0,2,0
Karkoodalpatti Bit 1,5,0,3,2,3,2,0,5,1,4,4,1
Mulaikurichi,19,0,13,6,10,9,0,19,4,15,17,2
Karaiampatti,3,0,0,3,0,3,1,2,2,1,3,0
Kolakkamedu,3,0,1,2,0,3,0,3,1,2,1,2
Karkoodalpatty Bit 2 ,3,0,2,1,0,3,1,2,3,0,1,2
Karkoodalpatty Bit 3 -,7,0,3,4,4,3,0,7,6,1,5,2
Mavar,3,0,1,2,2,1,0,3,2,1,3,0
Unanthangal,9,0,6,3,5,4,0,9,4,5,9,0
Chinnasekkadi,3,0,1,2,0,3,1,2,1,2,3,0
Mullukurichi,117,6,90,33,104,19,4,119,26,97,105,18
Molakkadu,5,0,3,2,2,3,0,5,2,3,3,2
Mangalapuram,7,5,8,4,9,3,1,11,2,10,1,11
Muthuruttu,5,0,4,1,3,2,0,5,0,5,1,4
Varagoorkombai,3,1,3,1,3,1,0,4,1,3,4,0
Periakombai,4,1,4,1,3,2,2,3,2,3,5,0
Periasekkadi,2,1,2,1,2,1,0,3,2,1,3,0
Perappansolai,3,0,2,1,1,2,1,2,3,0,3,0
Periakurichi,8,0,3,5,3,5,3,5,2,6,7,1
Pudurpallapatti,3,1,3,1,4,0,1,3,2,2,4,0
Pachudaiampalayam.O,19,0,13,6,19,0,0,19,13,6,18,1
Rasipalayam,14,0,11,3,1,13,0,14,6,8,3,11
Kalipalayam,11,3,3,11,11,3,9,5,9,5,13,1
Idumbankulam,8,0,0,8,7,1,0,8,0,8,2,6
Oruvandur,5,0,0,5,3,2,0,5,0,5,5,0
Sengapalli,19,3,14,8,16,6,17,5,13,9,8,14
Ponjai Idaiyar Keelmugam,11,2,6,7,8,5,3,10,3,10,10,3
Arasanatham,9,0,8,1,3,6,0,9,1,8,5,4
Pettaipalayam,5,0,0,5,0,5,0,5,1,4,5,0
Kumaripalayam,26,1,23,4,2,25,1,26,15,12,4,23
Chennapathampatti,6,1,2,5,1,6,3,4,1,6,5,2
Aniyapuram,6,1,2,5,5,2,3,4,3,4,5,2
Ariyur,23,1,7,17,16,8,15,9,15,9,14,10
Laddivadi,13,0,7,6,7,6,0,13,1,12,5,8
Tholur,12,1,7,6,8,5,10,3,8,5,3,10
Andapuram Agraharam,3,2,0,5,1,4,0,5,1,4,4,1
Arur,16,0,0,16,9,7,2,14,0,16,15,1
K.Puliyampatti,2,3,3,2,0,5,5,0,1,4,5,0
N.Puduppatti,118,7,72,53,18,107,1,124,18,107,62,63
Agrahara Manappalli,8,0,3,5,0,8,0,8,5,3,5,3
Valaiyapatti,116,4,24,96,62,58,6,114,11,109,109,11
Kutlamparai,4,4,5,3,3,5,2,6,1,7,5,3
Andapuram,6,0,4,2,1,5,0,6,0,6,5,1
Madagasampatty,4,1,5,0,2,3,1,4,1,4,5,0
Perumandampalayam,1,5,6,0,0,6,1,5,4,2,6,0
Sarkar Manappalli,3,2,5,0,0,5,1,4,1,4,5,0
Sircarvalavandhi,0,5,5,0,0,5,3,2,4,1,5,0
Madagasampatty,9,1,3,7,4,6,1,9,3,7,5,5
Perumandampalayam,106,24,61,69,38,92,18,112,92,38,96,34
Sarkar Manappalli,4,2,4,2,0,6,1,5,2,4,5,1
Sircarvalavandhi,93,28,100,21,55,66,4,117,9,112,94,27
Komarapalayam,1,0,1,0,1,0,0,1,0,1,1,0
Mohanur,3,0,1,2,0,3,0,3,0,3,2,1
Parali,118,5,52,71,55,68,3,120,3,120,101,22
Avanasipatti,11,0,9,2,11,0,9,2,9,2,2,9
Nagarpalayam,9,0,7,2,9,0,7,2,7,2,2,7
Sundagipalaiyam,3,0,1,2,3,0,1,2,1,2,2,1
Karungalpatti,141,0,138,3,141,0,41,100,106,35,16,125
Kolankondai,118,4,104,18,99,23,67,55,99,23,62,60
Morangam,4,0,2,2,4,0,2,2,3,1,1,3
Paruttipalli,5,0,3,2,5,0,3,2,3,2,1,4
Minnampalli,109,1,30,80,68,42,32,78,105,5,14,96
Palamedu,6,0,4,2,6,0,4,2,5,1,2,4
Marapparai,22,0,20,2,22,0,20,2,21,1,10,12
Kallupalaiyam,2,0,0,2,2,0,0,2,0,2,0,2
Vandinatham,7,0,5,2,7,0,5,2,6,1,2,5
Goundampalaiyam,5,0,0,5,4,1,0,5,1,4,2,3
Mettupalayam,18,0,0,18,13,5,2,16,15,3,4,14
Munjanur,4,0,2,2,4,0,2,2,2,2,1,3
Pillanatham,140,1,139,2,139,2,12,129,127,13,36,105
Koothanatham,9,0,7,2,9,0,7,2,7,2,2,7
Ballakkuli Agraharam,6,0,1,5,6,0,1,5,3,2,0,6
Sappayapuram,2,0,0,2,2,0,0,2,2,0,1,1
Sembampalaiyam,14,0,11,3,14,0,12,2,12,2,2,12
Mangalam,18,0,16,2,18,0,16,2,16,2,3,15
Ramapuram,15,0,13,2,15,0,14,1,13,2,2,13
Mallasamudram (East),16,0,13,3,16,0,13,3,14,2,5,11
Senbagamadevi,16,0,12,4,16,0,12,4,14,2,2,14
Karumanur,7,0,6,1,6,1,6,1,4,3,0,7
Mamundi,4,0,2,2,4,0,2,2,4,0,3,1
Kottaipalayam,15,0,13,2,15,0,13,2,14,1,4,11
Mallasamudram (West),23,1,21,3,24,0,20,4,21,3,7,17
Thiruppulinadu,132,1,105,29,8,126,110,24,111,23,132,2
Chithurnadu,99,10,14,96,60,50,50,60,77,33,105,5
Thinnanurnadu,19,0,19,0,16,3,19,0,0,19,19,0
Selurnadu,5,0,5,0,1,4,5,0,0,5,5,0
Devanurnadu,10,0,10,0,0,10,10,0,5,5,9,1
Edappulinadu,5,0,5,0,1,4,5,0,4,1,5,0
Pelappadinadu,7,1,8,0,0,8,5,3,1,7,7,1
Gundaninadu,5,0,5,0,2,3,5,0,0,5,5,0
Alathurnadu,7,0,7,0,1,6,7,0,3,4,7,0
Gundurnadu,12,0,12,0,3,9,12,0,4,8,12,0
Peraikkarinadu,11,0,11,0,0,11,11,0,0,11,11,0
Valappurnadu,11,0,11,0,0,11,11,0,1,10,11,0
Valavanthinadu,13,0,13,0,11,2,13,0,0,13,13,0
Bailnadu,14,0,14,0,0,14,14,0,5,9,14,0
Adakkampudukombai,5,0,5,0,1,4,3,2,0,5,3,1
Ariyurnadu,14,0,14,0,1,13,13,1,6,8,14,0
Thinnanurnadu,140,5,38,107,40,105,122,23,25,118,145,0
Selurnadu,14,0,3,11,10,4,11,3,4,10,14,0
Devanurnadu,10,0,1,9,0,10,10,0,5,5,9,1
Edappulinadu,5,0,3,2,1,4,5,0,4,1,5,0
Pelappadinadu,7,1,0,8,0,8,5,3,1,7,7,1
Gundaninadu,5,0,0,5,2,3,5,0,0,5,5,0
Alathurnadu,15,2,5,12,3,14,11,6,5,12,17,0
Gundurnadu,20,0,7,13,6,14,20,0,5,15,20,0
Peraikkarinadu,11,0,0,11,0,11,11,0,0,11,11,0
Valappurnadu,11,0,0,11,0,11,11,0,1,10,11,0
Valavanthinadu,25,0,20,5,17,8,25,0,11,14,25,0
Bailnadu,24,0,3,21,5,19,24,0,15,9,24,0
Adakkampudukombai,5,0,5,0,1,4,3,2,0,5,4,1
Ariyurnadu,16,0,2,14,2,14,15,1,9,7,16,0
T.Kavundampalayam,11,0,11,0,11,0,9,2,11,0,2,9
Sullipalayam,2,0,2,0,2,0,1,1,2,0,1,1
Kottamangalam,120,0,89,31,4,116,112,8,120,0,1,119
Anangur,1,0,1,0,1,0,0,1,1,0,1,0
Vadagarai Attur,1,0,1,0,1,0,0,1,1,0,1,0
Agrahara Bommalapalayam,1,0,1,0,1,0,1,0,1,0,0,1
Agraharakunnathur,1,0,1,0,1,0,0,1,1,0,0,1
Selur,2,0,2,0,2,0,1,1,2,0,1,1
M.Kunnathur,2,0,2,0,2,0,1,1,2,0,1,1
Kabilakkurichi,1,0,1,0,1,0,1,0,1,0,1,0
Kurumbalamahadevi,127,0,126,1,127,0,9,118,116,11,28,99
Periasolipalayam,147,3,113,37,113,37,20,130,63,87,16,134
Tidumal,3,0,3,0,3,0,2,1,3,0,1,2
S.Kondalam,1,0,1,0,1,0,0,1,1,0,0,1
Solasiramani,2,0,2,0,2,0,0,2,2,0,2,0
Pillikalpalayam,1,0,1,0,1,0,1,0,1,0,0,1
Sirunallikoil,5,0,5,0,5,0,4,1,5,0,1,4
Pothanur,1,0,1,0,1,0,0,1,1,0,1,0
Agrahara Venkarai,1,0,1,0,1,0,0,1,0,1,1,0
Sarkar Vengari,1,0,1,0,1,0,0,1,0,1,1,0
Irukkur,1,0,1,0,1,0,0,1,1,0,1,0
Gopanampalayam,2,0,2,0,2,0,1,1,2,0,2,0
