Village,Copper - Sufficient,Copper - Deficient,Boron - Sufficient,Boron - Deficient,S - Sufficient,S - Deficient,Fe - Sufficient,Fe - Deficient,Zn - Sufficient,Zn - Deficient,Mn - Sufficient,Mn - Deficient
Valvankundram,5,0,0,5,2,3,0,5,1,4,0,5
Kilur,1,1,0,2,2,0,0,2,1,1,0,2
Vaduganthangal,4,0,1,3,2,2,1,3,1,3,0,4
Murukkambattu,12,0,0,12,3,9,3,9,7,5,0,12
Kilvaithinankuppam (CT),6,0,0,6,1,5,1,5,4,2,0,6
Melur,1,0,0,1,1,0,0,1,1,0,0,1
Alanganeri,6,0,0,6,2,4,0,6,2,4,0,6
Kanguppam,18,1,1,19,12,8,0,20,10,10,0,20
Melmankuppam,4,0,0,4,4,0,2,2,1,3,0,4
Melmoil,24,0,1,23,16,8,2,22,14,10,0,24
Palayakrishnapuram,16,0,0,16,7,9,1,15,10,6,0,16
Kavanur,3,0,0,3,0,3,0,3,2,1,0,3
Kilalathur,10,0,3,7,4,6,1,9,5,5,0,10
Kothamangalam,5,0,1,4,3,2,0,5,0,5,1,4
Melvilachur,5,0,1,4,4,1,0,5,5,0,0,5
Vilundakkal,3,0,0,3,3,0,0,3,3,0,0,3
Olaiyathur,3,0,1,2,0,3,3,0,0,3,0,3
Thirumani,3,0,1,2,2,1,0,3,3,0,1,2
Vadavirinjipuram,4,0,2,2,4,0,4,0,0,4,2,2
Mudinampattu,5,0,2,3,3,2,4,1,5,0,3,2
Chennangkuppam,8,0,0,8,2,6,2,6,3,5,0,8
Bomminayakkanpalayam R.F.,4,0,3,1,4,0,0,4,1,3,0,4
Veppanganeri,1,0,0,1,1,0,0,1,1,0,0,1
Melalathur,95,5,10,90,35,65,1,99,13,87,1,99
Chettikuppam,70,13,5,78,14,69,15,68,42,41,30,53
Sembedu,115,11,12,115,67,61,23,105,57,71,29,99
Valathur,99,0,7,93,43,57,9,91,54,46,2,98
Perumbadi,95,9,16,89,49,56,0,105,60,45,0,105
Pichanur,3,1,0,4,4,0,0,4,2,2,0,4
Ramalai,17,3,0,20,18,2,0,20,11,9,0,20
Rangasamudram,2,1,0,3,2,1,0,3,0,3,0,3
Sevur (CT),5,0,0,5,4,1,0,5,2,3,0,5
kilpatti,4,1,2,3,4,1,0,5,1,4,1,4
Goodanagaram,6,0,2,4,2,4,0,6,2,4,1,5
Ananganallore,2,2,1,3,3,1,0,4,0,4,1,3
Singalpadi,6,15,3,18,16,5,9,12,13,8,1,20
Ulli,2,3,1,4,4,1,5,0,0,5,2,3
Melmuttukur,1,1,0,2,2,0,0,2,0,2,0,2
Pakkam,121,1,20,102,107,15,5,117,54,68,15,107
Pattu,18,13,12,19,21,10,4,27,20,11,2,29
Karuneekasamudram,2,2,0,4,4,0,2,2,1,3,1,3
Koothambakkam,100,5,7,98,85,20,2,103,27,77,1,104
Gollamangalam,4,2,0,6,4,2,2,4,0,6,2,4
Agaramcheri,36,8,7,37,34,10,17,27,19,25,1,43
Mordana,2,0,0,2,2,0,0,2,1,1,0,2
Mordana R.F,1,0,0,1,1,0,0,1,0,1,0,1
Thattaparai,3,0,1,2,3,0,0,3,1,2,0,3
Mukkundram,97,6,52,51,89,14,0,103,32,71,0,103
